iter	Logloss
0	0.6893051793
5	0.6718357763
10	0.6590834623
15	0.649146309
20	0.6415751177
25	0.6358899719
30	0.6312378257
35	0.6275713526
40	0.6239173762
45	0.6214880434
50	0.6184771672
55	0.6165439161
60	0.6143937855
65	0.61222753
70	0.6096890319
75	0.6084179486
80	0.6062510481
85	0.6046775026
90	0.6031102054
95	0.6011387787
100	0.5998898268
105	0.5979533911
110	0.5960698046
115	0.5946467847
120	0.5930740857
125	0.5919906556
130	0.590307985
135	0.5885927422
140	0.5871286845
145	0.5864921149
150	0.585334188
155	0.5839982827
160	0.582324642
165	0.5814383788
170	0.5801994647
175	0.5790084011
180	0.5777677938
185	0.5765165844
190	0.5755003547
195	0.5744642108
200	0.5732719782
205	0.5723159346
210	0.5706622888
215	0.5695065789
220	0.5686796149
225	0.5679512948
230	0.5667131869
235	0.565822449
240	0.5648463703
245	0.5641284104
250	0.5631416489
255	0.5618639948
260	0.5613271172
265	0.5608022123
270	0.5594933969
275	0.5589135465
280	0.5582562564
285	0.5576437532
290	0.5570316934
295	0.5559200045
300	0.5550484552
305	0.5539027428
310	0.5533584881
315	0.5527097443
320	0.5521395688
325	0.5514795779
330	0.5510201803
335	0.5504972507
340	0.5496296923
345	0.5491328447
350	0.5482802825
355	0.5478193531
360	0.5473442337
365	0.5468407346
370	0.5461522027
375	0.545624355
380	0.5448801116
385	0.5445368534
390	0.5440036039
395	0.5431888545
400	0.5427548939
405	0.5424297762
410	0.5416737616
415	0.5412487503
420	0.5408259159
425	0.5402653751
430	0.5390090057
435	0.5384254063
440	0.538046875
445	0.5373023091
450	0.5365500032
455	0.5357340041
460	0.5350969105
465	0.5348338735
470	0.5344756998
475	0.534053067
480	0.5338965348
485	0.5336301116
490	0.5329662506
495	0.5325638948
500	0.5322375274
505	0.531535249
510	0.5312571756
515	0.5306393511
520	0.5302769447
525	0.5297027783
530	0.5292301583
535	0.528574118
540	0.5281024252
545	0.5276904347
550	0.5271832269
555	0.5267312065
560	0.5262192015
565	0.5256404396
570	0.5251697949
575	0.5248313338
580	0.5242405589
585	0.5239282604
590	0.5236828802
595	0.5232369872
600	0.5226192434
605	0.5222182582
610	0.5218444031
615	0.5215853167
620	0.5211994888
625	0.5209380241
630	0.520737995
635	0.5203686146
640	0.519825287
645	0.5195774074
650	0.5187596749
655	0.5182066322
660	0.5177082124
665	0.517603562
670	0.5168395253
675	0.516471717
680	0.5163276816
685	0.5157348104
690	0.5154183598
695	0.5151493566
700	0.5145051277
705	0.5142242728
710	0.513746251
715	0.5133407105
720	0.5128075819
725	0.5124061936
730	0.512286547
735	0.5119199078
740	0.5113436855
745	0.5109678551
750	0.5106165344
755	0.510472499
760	0.5098618099
765	0.5095859939
770	0.5089748613
775	0.5086162442
780	0.5081784943
785	0.5078420085
790	0.5069590106
795	0.5066491309
800	0.5065924116
805	0.506145148
810	0.5055842041
815	0.5053891738
820	0.5053730086
825	0.5049842783
830	0.5048161765
835	0.5045744243
840	0.5043755644
845	0.503852917
850	0.5037314967
855	0.5034027106
860	0.5032569014
865	0.5029652025
870	0.5027495324
875	0.50214876
880	0.5016993598
885	0.5015376677
890	0.5012217815
895	0.5010267512
900	0.5007776219
905	0.500044424
910	0.4998882143
915	0.499723781
920	0.499535765
925	0.4993818934
930	0.4992360842
935	0.499030089
940	0.4990188822
945	0.4985726667
950	0.4985554937
955	0.4984366534
960	0.4979797552
965	0.4975765931
970	0.4974710559
975	0.4971182437
980	0.4969920666
985	0.4969786829
990	0.4968163055
995	0.4967509191
1000	0.4964946143
1005	0.4964874387
1010	0.4962946256
1015	0.4961909023
1020	0.4960225184
1025	0.495604078
1030	0.4953720008
1035	0.4953517641
1040	0.4952437677
1045	0.4952315531
1050	0.495193176
1055	0.4950428922
1060	0.4944479247
1065	0.4943650026
1070	0.494349684
1075	0.4940585494
1080	0.4939547455
1085	0.4936772365
1090	0.4932130821
1095	0.4930979102
1100	0.4929853989
1105	0.492670843
1110	0.4925279363
1115	0.4922700997
1120	0.4921036507
1125	0.4919549794
1130	0.49180139
1135	0.4914559952
1140	0.4912899897
1145	0.4912890222
1150	0.4912599571
1155	0.4912135981
1160	0.4910602506
1165	0.4908836026
1170	0.4907459365
1175	0.490539256
1180	0.4899993147
1185	0.4895354022
1190	0.4893128386
1195	0.4893078802
1200	0.489230118
1205	0.4890437145
1210	0.4890172697
1215	0.4888542473
1220	0.4885888722
1225	0.4883532879
1230	0.4882092525
1235	0.4881720443
1240	0.4879902767
1245	0.4879361374
1250	0.4877550551
1255	0.4875427309
1260	0.4874591235
1265	0.487378096
1270	0.4871350539
1275	0.4868311807
1280	0.4867100829
1285	0.4867090751
1290	0.4865454883
1295	0.4861791312
1300	0.4861776396
1305	0.4860627499
1310	0.486019495
1315	0.4858852554
1320	0.4857743566
1325	0.4854953157
1330	0.4854079592
1335	0.4854067096
1340	0.4852412684
1345	0.4851921278
1350	0.4851139625
1355	0.4849365889
1360	0.4847311581
1365	0.4846623855
1370	0.4846594024
1375	0.4845781331
1380	0.4843570208
1385	0.4842653509
